Index,Index,autores,data_apresentacao,ementa,proposicao,situacoes,urls
55,55, Jair Bolsonaro - PP/RJ.,2015-08-05,Dá nova redação à MPV 684/2015,EMC-22/2015 MPV68415 => MPV-684/2015,,Prop_Detalhe.asp?id=2025175
56,56, Jair Bolsonaro - PP/RJ.,2015-03-26,Dá nova redação à MPV 672/2015,EMC-37/2015 MPV67215 => MPV-672/2015,,Prop_Detalhe.asp?id=1514055
57,57, Jair Bolsonaro - PP/RJ.,2015-04-07,Dá nova redação à MPV 673/2015,EMC-37/2015 MPV67315 => MPV-673/2015,,Prop_Detalhe.asp?id=1514457
58,58, Jair Bolsonaro - PP/RJ.,2015-05-13,"Sugere o encaminhamento de Projeto de Lei que altera o artigo 2º-A da Lei nº 11.421, de 21 de dezembro de 2006, visando à atualização dos valores do auxílio-invalidez de que trata a Medida Provisória no 2.215-10, de 31 de agosto de 2001",INC-419/2015,Aguardando Resposta ,Prop_Detalhe.asp?id=1266669
59,59, Jair Bolsonaro - PP/RJ.,2015-05-14,"Sugere o encaminhamento de Projeto de Lei que acresce o § 3º ao art. 31 da Lei nº 3.765, de 4 de maio de 1960, que dispõe sobre as pensões militares, para instituir prazo obrigatório para julgamento da legalidade da concessão de pensões militares.",INC-434/2015,,Prop_Detalhe.asp?id=1278929
60,60," Flavinho - PSB/SP,Nelson Marquezelli - PTB/SP,Evandro Gussi - PV/SP,Paulo Foletto - PSB/ES,Marcus Pestana - PSDB/MG,Luiz Carlos Hauly - PSDB/PR,Izalci - PSDB/DF,Moroni Torgan - DEM/CE,Goulart - PSD/SP,Silas Câmara - PSD/AM,César Messias - PSB/AC,Tenente Lúcio - PSB/MG,Adilton Sachetti - PSB/MT,Givaldo Carimbão - PROS/AL,Pr. Marco Feliciano - PSC/SP,Eros Biondini - PTB/MG,Lincoln Portela - PR/MG,Alan Rick - PRB/AC,Roberto Alves - PRB/SP,Ronaldo Martins - PRB/CE,Antonio Bulhões - PRB/SP,Rogério Peninha Mendonça - PMDB/SC,Jair Bolsonaro - PP/RJ,Márcio Marinho - PRB/BA,Miro Teixeira - PROS/RJ,Júlio Delgado - PSB/MG,Joaquim Passarinho - PSD/PA,Sóstenes Cavalcante - PSD/RJ,Alexandre Serfiotis - PSD/RJ,João Rodrigues - PSD/SC,Jefferson Campos - PSD/SP,Ezequiel Teixeira - SD/RJ,Fábio Sousa - PSDB/GO,Walter Ihoshi - PSD/SP,Vitor Lippi - PSDB/SP,Eduardo Cury - PSDB/SP,Marcelo Aro - PHS/MG,Kaio Maniçoba - PHS/PE,Vitor Valim - PMDB/CE,Macedo - PSL/CE,Missionário José Olimpio - PP/SP,Francisco Floriano - PR/RJ,Geovania de Sá - PSDB/SC,Diego Garcia - PHS/PR,Evandro Roman - PSD/PR,Carlos Gomes - PRB/RS,Esperidião Amin - PP/SC,Fábio Mitidieri - PSD/SE,Hildo Rocha - PMDB/MA,Alceu Moreira - PMDB/RS,Alberto Filho - PMDB/MA,Lelo Coimbra - PMDB/ES,Walter Alves - PMDB/RN,Hugo Motta - PMDB/PB,Veneziano Vital do Rêgo - PMDB/PB,Laudivio Carvalho - PMDB/MG,Cabuçu Borges - PMDB/AP,Luiz Lauro Filho - PSB/SP,Clarissa Garotinho - PR/RJ,Herculano Passos - PSD/SP,Leopoldo Meyer - PSB/PR,Heitor Schuch - PSB/RS,Fernando Coelho Filho - PSB/PE,Baleia Rossi - PMDB/SP,Marcos Rogério - PDT/RO,Evair de Melo - PV/ES,Fernando Francischini - SD/PR.",2015-06-17,"Para sustar os efeitos da inclusão da ideologia de gênero no Documento Final do Conae- 2014, assinado e apresentado pelo Fórum Nacional de Educação.",PDC-122/2015,Devolvida ao Autor,Prop_Detalhe.asp?id=1430832
61,61, Jair Bolsonaro - PP/RJ.,2015-08-11,"Ficam sustados os efeitos do inteiro teor do Decreto nº 8.497, de 4 de agosto de 2015, que regulamenta a formação do Cadastro Nacional de Especialistas, publicado na Seção 1 do Diário Oficial da União nº 148, de 05 de agosto de 2015",PDC-158/2015,Tramitando em Conjunto,Prop_Detalhe.asp?id=1599031
62,62, Jair Bolsonaro - PP/RJ.,2015-03-17,"Ficam sustados os efeitos do inteiro teor das Resoluções nº 11, de 18 de dezembro de 2014, e nº 12, de 16 de janeiro de 2015, do Conselho Nacional de Combate à Discriminação e Promoção dos Direitos de Lésbicas, Gays, Travestis e Transexuais - CNCD/LGBT, da Secretaria de Direitos Humanos, ambas publicadas na Seção 1 do Diário Oficial da União nº 48, de 12 de março de 2015.",PDC-18/2015,Tramitando em Conjunto,Prop_Detalhe.asp?id=1029104
63,63," Nelson Marquezelli - PTB/SP,Weliton Prado - PT/MG,Alfredo Kaefer - PSDB/PR,Odorico Monteiro - PT/CE,Carmen Zanotto - PPS/SC,Aureo - SD/RJ,Walney Rocha - PTB/RJ,Paulo Feijó - PR/RJ,Diego Garcia - PHS/PR,Marcelo Matos - PDT/RJ,Marco Tebaldi - PSDB/SC,Zeca Cavalcanti - PTB/PE,Major Olimpio - PDT/SP,Luiz Carlos Ramos - PSDC/RJ,Pedro Uczai - PT/SC,Hélio Leite - DEM/PA,Fernando Jordão - PMDB/RJ,João Paulo Papa - PSDB/SP,Luciano Ducci - PSB/PR,Darcísio Perondi - PMDB/RS,José Carlos Aleluia - DEM/BA,Izalci - PSDB/DF,Dr. Sinval Malheiros - PV/SP,Luiz Carlos Hauly - PSDB/PR,Pauderney Avelino - DEM/AM,Domingos Neto - PROS/CE,Pedro Cunha Lima - PSDB/PB,Wilson Filho - PTB/PB,Rômulo Gouveia - PSD/PB,Celso Russomanno - PRB/SP,Gonzaga Patriota - PSB/PE,Osmar Serraglio - PMDB/PR,Zé Carlos - PT/MA,Eduardo Barbosa - PSDB/MG,Givaldo Vieira - PT/ES,Marcelo Belinati - PP/PR,Carlos Bezerra - PMDB/MT,Geraldo Resende - PMDB/MS,Valtenir Pereira - PROS/MT,Ana Perugini - PT/SP,Jair Bolsonaro - PP/RJ,Edmilson Rodrigues - PSOL/PA,João Rodrigues - PSD/SC,Luiz Nishimori - PR/PR,Flávia Morais - PDT/GO,Carlos Eduardo Cadoca - PCdoB/PE,Gorete Pereira - PR/CE,Odelmo Leão - PP/MG,Herculano Passos - PSD/SP,Caetano - PT/BA,Conceição Sampaio - PP/AM,Rogério Peninha Mendonça - PMDB/SC,Nilto Tatto - PT/SP,Lobbe Neto - PSDB/SP,Davidson Magalhães - PCdoB/BA,Goulart - PSD/SP,Giovani Cherini - PDT/RS,Esperidião Amin - PP/SC,Pompeo de Mattos - PDT/RS,Marcos Montes - PSD/MG,Ezequiel Fonseca - PP/MT,Cesar Souza - PSD/SC,Assis Carvalho - PT/PI,Tereza Cristina - PSB/MS,Benjamin Maranhão - SD/PB,Walter Ihoshi - PSD/SP,Josi Nunes - PMDB/TO,Roney Nemer - PMDB/DF,Deley - PTB/RJ,Silas Freire - PR/PI,Baleia Rossi - PMDB/SP,Alberto Fraga - DEM/DF,Mauro Pereira - PMDB/RS,Daniel Coelho - PSDB/PE,Rubens Bueno - PPS/PR,Fabio Garcia - PSB/MT,João Daniel - PT/SE,Efraim Filho - DEM/PB,Renata Abreu - PTN/SP,Elcione Barbalho - PMDB/PA,Geovania de Sá - PSDB/SC,Keiko Ota - PSB/SP,Cícero Almeida - PRTB/AL,Marquinho Mendes - PMDB/RJ.",2015-09-03,"Susta os efeitos do Acordão nº 925-13/13-P, do Tribunal de Contas da União, órgão auxiliar do Congresso Nacional.",PDC-190/2015,Arquivada,Prop_Detalhe.asp?id=1712330
64,64, Jair Bolsonaro - PP/RJ.,2015-09-08,"Ficam sustados os efeitos do inteiro teor do Decreto nº 8.515, de 3 de setembro de 2015, publicado na Seção 1 do Diário Oficial da União nº 170, de 4 de setembro de 2015. Explicação: Susta decreto que delega competência ao Ministro de Estado da Defesa para a edição de atos relativos a pessoal militar.",PDC-196/2015,Arquivada,Prop_Detalhe.asp?id=1712789
65,65," Pastor Eurico - PSB/PE,Alan Rick - PRB/AC,Alberto Fraga - DEM/DF,Anderson Ferreira - PR/PE,Andre Moura - PSC/SE,Antonio Bulhões - PRB/SP,Aureo - SD/RJ,Capitão Augusto - PR/SP,Carlos Andrade - PHS/RR,Carlos Gomes - PRB/RS,Celso Russomanno - PRB/SP,Diego Garcia - PHS/PR,Domingos Neto - PROS/CE,Elizeu Dionizio - SD/MS,Evandro Gussi - PV/SP,Ezequiel Teixeira - SD/RJ,Fábio Sousa - PSDB/GO,Fabricio Oliveira - PSB/SC,Flavinho - PSB/SP,Francisco Floriano - PR/RJ,Geovania de Sá - PSDB/SC,Givaldo Carimbão - PROS/AL,Jair Bolsonaro - PP/RJ,Jefferson Campos - PSD/SP,Jhonatan de Jesus - PRB/RR,João Campos - PSDB/GO,Júlia Marinho - PSC/PA,Leonardo Quintão - PMDB/MG,Marcelo Aguiar - DEM/SP,Marcelo Aro - PHS/MG,Marcos Rogério - PDT/RO,Missionário José Olimpio - PP/SP,Moroni Torgan - DEM/CE,Nilton Capixaba - PTB/RO,Osmar Terra - PMDB/RS,Pastor Franklin - PTdoB/MG,Pr. Marco Feliciano - PSC/SP,Professor Victório Galli - PSC/MT,Roberto Alves - PRB/SP,Rocha - PSDB/AC,Rogério Rosso - PSD/DF,Ronaldo Fonseca - PROS/DF,Rosangela Gomes - PRB/RJ,Silas Câmara - PSD/AM,Sóstenes Cavalcante - PSD/RJ,Stefano Aguiar - PSB/MG,Tereza Cristina - PSB/MS,Vinicius Carvalho - PRB/SP.",2015-09-15,"Susta a Portaria nº 916, de 9 de setembro de 2015, do Ministério da Educação, que ""Institui Comitê de Gênero, de caráter consultivo, no âmbito do Ministério da Educação."".",PDC-214/2015,Tramitando em Conjunto,Prop_Detalhe.asp?id=1724803
